$outgn
character(0)

$outsp
character(0)

$outcell
 Species                                Genes  
 "Streptococcus_const..GCA_000463395.1" "GEN43"
 "Streptococcus_mitis..GCA_000027165.1" "GEN43"
 "Streptococcus_gallo..GCA_001477575.1" "GEN43"
 "Streptococcus_infan..GCA_000246835.1" "GEN43"
 "Enterococcus_silesi..GCA_001465115.1" "GEN44"
 "Listeria_grayi..GCF_000525895.1"      "GEN44"
 "Listeria_rocourtiae..GCF_000525975.1" "GEN44"
 "Amphibacillus_xylan..GCA_000307165.1" "GEN44"
 "Lactobacillus_pento..GCA_000271445.1" "GEN45"
 "Streptococcus_mitis..GCA_000027165.1" "GEN45"
 "Listeria_riparia..GCF_000525995.1"    "GEN45"
 "Listeria_marthii..GCA_000183865.1"    "GEN45"
 "?bacillus?_seleniti..GCA_000093085.1" "GEN45"
 "Lactobacillus_ferme..GCA_000010145.1" "GEN46"
 "Streptococcus_marmo..GCA_001623565.1" "GEN46"
 "Staphylococcus_aure..GCA_000011265.1" "GEN46"
 "Staphylococcus_arge..GCA_000236925.1" "GEN46"
 "Geobacillus_thermod..GCA_000015745.1" "GEN46"
 "Amphibacillus_xylan..GCA_000307165.1" "GEN46"
 "Lactobacillus_parap..GCA_001443645.1" "GEN47"
 "Listeria_eihensteph..GCF_000525955.1" "GEN47"
 "Listeria_marthii..GCA_000183865.1"    "GEN47"
 "Lactobacillus_ferme..GCA_000010145.1" "GEN48"
 "Streptococcus_sangu..GCA_000014205.1" "GEN48"
 "Listeria_cornellens..GCF_000525855.1" "GEN49"
 "Planococcus_sp...GCA_000785555.1"     "GEN49"
 "Bacillus_sp...GCA_001278805.1"        "GEN49"
 "Lactobacillus_sp...GCA_000761135.1"   "GEN50"
 "Streptococcus_sangu..GCA_000014205.1" "GEN50"
 "Enterococcus_durans..GCA_001267395.1" "GEN50"
 "Listeria_rocourtiae..GCF_000525975.1" "GEN50"
 "Bacillus_paralichen..GCA_000408885.1" "GEN50"

