$outgn
character(0)

$outsp
character(0)

$outcell
 Species                                 Genes  
 "Enterobacter_sp...GCA_000016325.1"     "GEN25"
 "Citrobacter_koseri..GCA_000018045.1"   "GEN28"
 "Pantoea_sp...GCA_000175935.2"          "GEN29"
 "candidatus_pantoea_c..GCA_000478905.1" "GEN30"
 "Yersinia_aldovae..GCA_000834395.1"     "GEN30"
 "Yersinia_intermedia..GCA_000834515.1"  "GEN30"
 "Buchnera_aphidicola..GCA_000090965.1"  "GEN30"
 "Yersinia_enterocolit..GCA_000192105.1" "GEN31"
 "Yersinia_ruckeri..GCA_000834255.1"     "GEN31"
 "Klebsiella_oxytoca..GCA_000240325.1"   "GEN31"
 "Yersinia_enterocolit..GCA_000834735.1" "GEN31"
 "Yersinia_rohdei..GCA_000834455.1"      "GEN31"
 "Citrobacter_rodentiu..GCA_000027085.1" "GEN32"
 "Raoultella_ornithino..GCA_000367425.1" "GEN33"
 "Cronobacter_sakazaki..GCA_000982825.1" "GEN33"
 "Citrobacter_amalonat..GCA_000981805.1" "GEN33"
 "Enterobacteriaceae_b..GCA_000330845.1" "GEN33"
 "Escherichia_ferguson..GCA_000026225.1" "GEN34"
 "Chania_multitudinise..GCA_000520015.2" "GEN36"
 "Serratia_marcescens..GCA_000330865.1"  "GEN36"
 "Enterobacter_asburia..GCA_000224675.1" "GEN36"
 "Serratia_plymuthica..GCA_000438825.1"  "GEN38"
 "Rahnella_aquatilis..GCA_000255535.1"   "GEN38"
 "Erwinia_billingiae..GCA_000196615.1"   "GEN38"
 "Citrobacter_rodentiu..GCA_000027085.1" "GEN38"
 "Salmonella_enterica_..GCA_000018625.1" "GEN38"
 "candidatus_blochmann..GCA_000185985.2" "GEN39"
 "Wigglesworthia_gloss..GCA_000247565.1" "GEN39"
 "Buchnera_aphidicola..GCA_000007725.1"  "GEN39"
 "Buchnera_aphidicola..GCA_000090965.1"  "GEN39"
 "Salmonella_enterica_..GCA_000018625.1" "GEN40"
 "Klebsiella_variicola..GCA_000025465.1" "GEN40"
 "Klebsiella_variicola..GCA_000812205.1" "GEN40"
 "Klebsiella_variicola..GCA_000828055.1" "GEN40"
 "Klebsiella_pneumonia..GCA_000019565.1" "GEN40"
 "Blochmannia_endosymb..GCA_000973545.1" "GEN42"
 "Citrobacter_rodentiu..GCA_000027085.1" "GEN44"
 "Enterobacter_lignoly..GCA_000164865.1" "GEN44"
 "candidatus_tachikawa..GCA_000828815.1" "GEN46"
 "Buchnera_aphidicola..GCA_000225465.1"  "GEN46"
 "Yersinia_ruckeri..GCA_000964565.1"     "GEN47"
 "Serratia_marcescens..GCA_000336425.1"  "GEN47"
 "Serratia_sp...GCA_000747565.1"         "GEN47"
 "Pantoea_rwandensis..GCA_000759475.1"   "GEN47"
 "Pantoea_vagans..GCA_000148935.1"       "GEN47"
 "Erwinia_billingiae..GCA_000196615.1"   "GEN47"
 "Raoultella_ornithino..GCA_000829965.1" "GEN47"
 "Enterobacter_lignoly..GCA_000164865.1" "GEN47"
 "Yersinia_aldovae..GCA_000834395.1"     "GEN48"
 "Serratia_liquefacien..GCA_000422085.1" "GEN49"
 "Buchnera_aphidicola..GCA_000217635.1"  "GEN49"
 "Dickeya_dadantii..GCA_000023545.1"     "GEN49"
 "Sodalis_praecaptivus..GCA_000517425.1" "GEN50"
 "Sodalis_glossinidius..GCA_000010085.1" "GEN50"
 "Providencia_stuartii..GCA_000259175.1" "GEN51"
 "Xenorhabdus_doucetia..GCA_000968195.1" "GEN51"

